transaction_id,timestamp,description,amount,currency,transaction_type,transaction_category,transaction_classification,merchant_name,running_balance_amount,running_balance_currency,meta_bank_transaction_id,meta_provider_category,meta_counterpart_sort_code,meta_counterpart_account_number
315630f1d9299f3b13c74d27b2a67638,2021-12-28T00:00:00Z,TSB CLEVELEYS,420.0,GBP,CREDIT,CASH,,,-640.42,GBP,,CSH,,
bab16e37ff420da4444bed9ac748eeb5,2021-12-28T00:00:00Z,AMAZON INT'L,-36.59,GBP,DEBIT,PURCHASE,,,-677.01,GBP,,DEB,,
3d35a0bd8759aec559b22546eba965b5,2021-12-28T00:00:00Z,RETURNED DD,40.0,GBP,CREDIT,CREDIT,,,-637.01,GBP,,DEP,,
8357dfdd381dadc00c6829c4e69577bd,2021-12-28T00:00:00Z,MR JOHN SMITH,-32.72,GBP,DEBIT,TRANSFER,,,-669.73,GBP,,TFR,,
d0b196351c91edf771432ae8e91e6242,2021-12-28T00:00:00Z,WORKING TAX CREDIT,22.42,GBP,CREDIT,CREDIT,,,-647.31,GBP,,BGC,,
a353f6e83a50dfb650768dbda8681e0d,2021-12-27T00:00:00Z,MS JANE DOE,-7.93,GBP,DEBIT,TRANSFER,,,-655.24,GBP,,TFR,,
5195313aa594e6604fd530d6d9b1f891,2021-12-27T00:00:00Z,CIRCLE UK TRADING REFUND,50.59,GBP,CREDIT,CREDIT,,,-604.65,GBP,,DEP,,
ded0c76b63d233bc96415415ad4e8392,2021-12-27T00:00:00Z,MS JANE DOE,15.86,GBP,CREDIT,TRANSFER,,,-588.79,GBP,,TFR,,
576de387072dae1deb533bed16ecd15f,2021-12-27T00:00:00Z,DVLA LICENSE,-20.56,GBP,DEBIT,DIRECT_DEBIT,,,-609.35,GBP,,DD,,
033f4cd0b57588aa88af6a89435f6afb,2021-12-27T00:00:00Z,E&L INSURANCE,-2.99,GBP,DEBIT,DIRECT_DEBIT,,,-612.34,GBP,,DD,,
3e35de32b711074058a6a8756695fd5a,2021-12-27T00:00:00Z,TESCO ONLINE SHOPPING,-23.62,GBP,DEBIT,DIRECT_DEBIT,,,-635.96,GBP,,DD,,
a88316318fe8bb1d4bdbf309c543734d,2021-12-27T00:00:00Z,PAYPAL EBAY,-7.56,GBP,DEBIT,PURCHASE,,,-643.52,GBP,,DEB,,
66f66607d61f56352dd8b3f89388dc0c,2021-12-25T00:00:00Z,CASHBACK,70.0,GBP,CREDIT,CASH,,,-573.52,GBP,,CSH,,
fea277e3f4b0181c1f6786a5282edf91,2021-12-25T00:00:00Z,MENS HEALTH SUBSCRIPTION,-24.5,GBP,DEBIT,DIRECT_DEBIT,,,-598.02,GBP,,DD,,
8c7e33d015ea7249f995d4d6a22c90aa,2021-12-25T00:00:00Z,OUTGOING DD,-10.0,GBP,DEBIT,DIRECT_DEBIT,,,-608.02,GBP,,DD,,
28799e1de70a9ed725f8ed7a04543e4b,2021-12-25T00:00:00Z,SAVE THE CHANGE,-0.41,GBP,DEBIT,BILL_PAYMENT,,,-608.43,GBP,,BP,,
aae8e60604dec7c269dff4e485012914,2021-12-25T00:00:00Z,AMAZON PLC,-36.59,GBP,DEBIT,PURCHASE,,,-645.02,GBP,,DEB,,
a632c1393caae4f0501cffd32d533067,2021-12-25T00:00:00Z,SAVE THE CHANGE,-0.5,GBP,DEBIT,BILL_PAYMENT,,,-645.52,GBP,,BP,,
a80198f7c7106669721542590bc1d7aa,2021-12-25T00:00:00Z,WWW.BINGO.COM,-10.5,GBP,DEBIT,PURCHASE,,,-656.02,GBP,,DEB,,
c137bd3bd2793edbdaad7a006d0f1b77,2021-12-23T00:00:00Z,MORSES CLUB LTD,-30.0,GBP,DEBIT,PURCHASE,,,-626.02,GBP,,DEB,,
2b0599fefb127e0fd6336df3d0af61d5,2021-12-23T00:00:00Z,ANYVAN LTD,32.5,GBP,CREDIT,CREDIT,,,-593.52,GBP,,FPI,,
f27f2b7544c932c9a0c439f25927a0b4,2021-12-23T00:00:00Z,LNK ATM WITHDRAWAL,-100.0,GBP,DEBIT,ATM,,,-693.52,GBP,,CPT,,
2fb684f59c798d645b4193d72e9bdf71,2021-12-23T00:00:00Z,SAVE THE CHANGE,-1.57,GBP,DEBIT,BILL_PAYMENT,,,-695.09,GBP,,BP,,
b1a096faae6d329e2e41ed3f60350812,2021-12-23T00:00:00Z,WWW.METROBANK.COM,-20.0,GBP,DEBIT,PURCHASE,,,-715.09,GBP,,DEB,,
c2d1615dd920d44a28c4533328e6c28f,2021-12-22T00:00:00Z,AMAZON INT'L,-5.0,GBP,DEBIT,PURCHASE,,,-720.09,GBP,,DEB,,
197a767623b45884fab4899fcf91f041,2021-12-22T00:00:00Z,SAVE THE CHANGE,-0.01,GBP,DEBIT,BILL_PAYMENT,,,-720.1,GBP,,BP,,
c46fdcf0656803d3b4bc57668fc0390c,2021-12-22T00:00:00Z,TESCO MOBILE LTD,-39.25,GBP,DEBIT,PURCHASE,,,-759.35,GBP,,DEB,,
e446be8b848b6a8fe836c0e59ae2fe8d,2021-12-22T00:00:00Z,PAYPAL WWW.EBAY.COM,-36.59,GBP,DEBIT,PURCHASE,,,-795.94,GBP,,DEB,,
6409ff76021ff9c835e803c0206ed1b6,2021-12-22T00:00:00Z,OAKAM LIMITED,-36.59,GBP,DEBIT,PURCHASE,,,-832.53,GBP,,DEB,,
73cf8a8486e76609f39bf52d256b2b3f,2021-12-20T00:00:00Z,REGENDA REDWING,-150.0,GBP,DEBIT,PURCHASE,,,-982.53,GBP,,DEB,,
2936ddd3e933f487dda6dfb630b65146,2021-12-20T00:00:00Z,WORKING TAX CREDIT,22.42,GBP,CREDIT,CREDIT,,,-960.11,GBP,,BGC,,
c799ed3e134fe37a41a5faa53285f21b,2021-12-20T00:00:00Z,PARKRETAIL.CO.UK,-550.0,GBP,DEBIT,PURCHASE,,,-1510.11,GBP,,DEB,,
b1b8cf24600abb45ab1ff9f0eb24eb55,2021-12-20T00:00:00Z,CHILD TAX CREDIT,345.13,GBP,CREDIT,CREDIT,,,-1164.98,GBP,,BGC,,
317e4be18c59201bbeabef3e4942bb2c,2021-12-19T00:00:00Z,AMAZON PRIME,-7.99,GBP,DEBIT,PURCHASE,,,-1172.97,GBP,,DEB,,
